LOCATION,TIME,working_age,population,gdp_ppp,inflation,exports,imports,eu,ea
AUS,1950,65.282,,,8.695652,,,0.0,0.0
AUS,1951,64.736,,,19.42857,,,0.0,0.0
AUS,1952,64.263,,,17.22488,,,0.0,0.0
AUS,1953,63.648,,,4.489796,,,0.0,0.0
AUS,1954,63.086,,,1.5625,,,0.0,0.0
AUS,1955,62.578,,,1.538462,,,0.0,0.0
AUS,1956,62.189,,,5.681818,,,0.0,0.0
AUS,1957,61.886,,,2.867383,,,0.0,0.0
AUS,1958,61.499,,,0.6968641,,,0.0,0.0
AUS,1959,61.36,,,2.076125,,,0.0,0.0
AUS,1960,61.279,10.275,25034.74,3.728814,,,0.0,0.0
AUS,1961,61.176,10.5082,25326.382,2.287582,,,0.0,0.0
AUS,1962,61.413,10.7005,27913.206,-0.3194888,,,0.0,0.0
AUS,1963,61.528,10.9069,30385.723,0.6410257,,,0.0,0.0
AUS,1964,61.657,11.1216,32694.467,2.866242,,,0.0,0.0
AUS,1965,61.852,11.3409,34489.925,3.405573,,,0.0,0.0
AUS,1966,62.015,11.599498,38285.311,3.293413,,,0.0,0.0
AUS,1967,62.244,11.799078,41004.016,3.478261,,,0.0,0.0
AUS,1968,62.523,12.008635,46488.435,2.521008,,,0.0,0.0
AUS,1969,62.706,12.263014,52131.937,3.278688,,,0.0,0.0
AUS,1970,62.826,12.507349,58744.426,3.439153,12.6581336508409,12.9334722428933,0.0,0.0
AUS,1971,62.978,13.067265,64011.08,6.138107,12.8225878967719,11.9705961694092,0.0,0.0
AUS,1972,63.085,13.303664,69667.086,6.024096,14.1516071320884,11.0177498140591,0.0,0.0
AUS,1973,63.26,13.504538,78684.326,9.090909,13.14872577648,13.2134324396071,0.0,0.0
AUS,1974,63.524,13.722571,86152.081,15.41667,14.2778847369974,14.7317978049158,0.0,0.0
AUS,1975,63.786,13.892995,96659.873,15.16245,13.519715500877,13.3803493764567,0.0,0.0
AUS,1976,64.085,14.033083,104079.405,13.32288,14.019401711181,14.6501654974291,0.0,0.0
AUS,1977,64.408,14.192234,110056.543,12.30982,13.6247962714094,14.5903029956443,0.0,0.0
AUS,1978,64.692,14.359255,123092.289,8.004926,14.3084823800248,15.3566579810603,0.0,0.0
AUS,1979,64.947,14.515729,137700.414,9.122006,16.4353091709814,15.9086175087782,0.0,0.0
AUS,1980,65.129,14.695356,154714.29,10.13584,14.9084407987275,16.7402821048757,0.0,0.0
AUS,1981,65.285,14.92326,177927.212,9.487666,13.5376450624665,16.8295238420627,0.0,0.0
AUS,1982,65.465,15.184247,181561.596,11.35182,13.591355329171,15.6235296605465,0.0,0.0
AUS,1983,65.655,15.393472,196112.732,10.03891,13.5768448481099,15.005295766199,0.0,0.0
AUS,1984,65.919,15.579391,211307.195,3.960396,15.2562209275108,17.3053925344614,0.0,0.0
AUS,1985,66.135,15.788312,228433.427,6.734694,15.0088379956963,18.0802336304949,0.0,0.0
AUS,1986,66.403,16.01835,239508.375,9.05035,15.4926323894858,17.0921563823457,0.0,0.0
AUS,1987,66.633,16.263874,260400.381,8.533022,15.98695849504,16.6476786800416,0.0,0.0
AUS,1988,66.789,16.532164,282358.294,7.21594,15.1481759609943,16.9817378433677,0.0,0.0
AUS,1989,66.865,16.814416,298996.814,7.533903,15.1463378398455,17.0734908136483,0.0,0.0
AUS,1990,66.901,17.065128,303536.564,7.333022,16.061136108665,16.193830898585,0.0,0.0
